Config,Q2_OT,Q5_OT,Savings
Config_A,119.76445817,87.132996,32.63146216999999
Config_B,119.76445817,82.3267286,37.43772957
Config_C,119.76445817,60.384449000000004,59.380009169999994
Config_D,119.76445817,64.9933953,54.771062869999994
Config_E,119.76445817,95.743395,24.02106316999999
