Cost_Ratio,c_supp,Total_Cost,Total_OT,Max_OT
0.5,15.0,4239.667845000001,122.95396300000002,36.736597
0.75,22.5,4515.192322500001,122.95396300000002,36.736597
1.0,30.0,4790.716800000001,122.95396300000002,36.736597
1.33,39.900000000000006,5154.409110300001,122.95396300000002,36.736597
1.5,45.0,5303.11119,135.97721,27.195442
2.0,60.0,5711.04282,135.97721,27.195442
