Holding_Cost,Objective,Total_OT,Inventory,Inv_Cost
0.5,128.3407976,128.3407976,0,0.0
1.0,128.3407976,128.3407976,0,0.0
2.0,128.3407976,128.3407976,0,0.0
3.0,128.3407976,128.3407976,0,0.0
5.0,128.3407976,128.3407976,0,0.0
