c_supp,Total_Cost,Support_Cost,Max_OT
30,4790.716800000001,1102.0979100000002,36.736597
40,5158.082770000001,1469.4638800000002,36.736597
50,5439.0884,1359.7721,27.195442
60,5711.04282,1631.72652,27.195442
