c_prod,Total_Cost,OT_Cost,Total_OT
20,3807.3618800000004,2719.5442000000003,135.97721
25,4487.2479299999995,3399.4302500000003,135.97721
30,5158.082770000001,3688.6188900000006,122.95396300000002
35,5772.8525850000005,4303.388705,122.95396300000002
40,6387.622400000001,4918.158520000001,122.95396300000002
