Demand_Factor,Total_Cost,Total_OT,Shortfall
0.9,9252.32967,199.010989,454.0
1.0,13324.769339999999,240.0,1401.58978
1.1,18064.8462,222.0,3161.6153999999997
1.2,22570.38462,233.846154,4545.0
